episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692ea69caec602a46af10595,6903686e0e94ce070afd1f24,keep,-0.4395,,,47,107,109,0.5556,,,,0.0938,0.8665,0.8524,0.0000,0.7840
692e9828ea43f09edf26f444,6871e269bc1991b1a1e463ba,keep,-0.4397,,hesitant,0,197,211,0.9381,,,,0.2409,0.0403,-0.2566,2.1218,0.7910
692e9748ba0400c70689fcf9,69150bf42756853dcad943f2,keep,-0.4397,,jittery+hesitant,0,126,128,0.9921,,,,-0.1493,1.6338,0.2676,1.3869,-0.8032
692eabd34e86f0c01a207294,6903686e0e94ce070afd1f24,keep,-0.4403,,,0,91,93,0.9891,0.1121,3,0.9332,-0.0757,0.4616,0.0516,0.0000,0.3166
692e976e40338017b7f997bd,69038b590e94ce070afd2952,keep,-0.4405,,unsteady_camera,11,282,284,0.9576,0.0735,0,0.3150,-0.4884,0.2791,1.1308,-0.5144,-0.2063
692e9749ba0400c70689fd03,69150bf42756853dcad943f2,keep,-0.4406,,jittery,0,136,138,0.9927,,,,0.0853,1.2219,0.0614,0.8793,0.1825
692ea137b77ab81b8b41edcc,68696b41314bde44018fa510,keep,-0.4408,,jittery,0,193,195,0.9948,,,,-0.2954,1.3357,0.9717,0.0000,0.5537
692ea8fb727c13b350cb7cb7,6903bd580e94ce070afd33cd,keep,-0.4410,,unsteady_camera,18,182,184,0.8962,,,,0.1108,0.4940,1.2918,0.7788,0.1089
692eab3297ffd8ec90340205,69070e0b9adc5c8f26f55b5a,keep,-0.4415,,,0,195,197,0.9949,,,,0.4886,0.7922,-0.0761,0.7259,0.5198
692ea19d567c97525f401487,68696b41314bde44018fa510,keep,-0.4426,,poor_image,0,235,237,0.9958,,,,1.8193,0.3982,-0.4371,0.0000,0.2092
692eeefeef7557106e6c4c67,68bc72d1fcdaacc405e3db53,keep,-0.4428,,jittery,46,146,149,0.6757,,,,-0.3712,2.2785,0.3792,0.2528,-0.3932
692ea4d899488ff84776f913,6903686e0e94ce070afd1f24,keep,-0.4430,,unsteady_camera+incomplete,66,139,141,0.5214,,,,0.1187,-0.0099,1.3443,0.0000,1.5936
692e9dbf68228e362d908f6c,6903686e0e94ce070afd1f24,keep,-0.4432,,hesitant,55,151,153,0.6316,,,,0.0684,0.5153,-0.0291,1.6276,0.6280
692eac8592a31767e35da3aa,69070e0b9adc5c8f26f55b5a,keep,-0.4437,,hesitant,3,152,154,0.9739,,,,0.2608,0.6301,0.3487,1.3949,0.0262
692eac7374b24813e7597610,68bc72d1fcdaacc405e3db53,keep,-0.4439,,poor_image,25,227,232,0.8745,,,,1.8848,-0.1228,0.3675,-0.0816,0.1781
692ea6fa4e86f0c01a20721f,6903bd580e94ce070afd33cd,keep,-0.4440,,jittery,63,246,250,0.7349,,,,0.2084,1.1698,0.1470,0.8459,0.0480
